user_id,item_id,rating,timestamp,time_of_day
196,242,3,1997-12-04 15:55:49,Evening
186,302,3,1998-04-04 19:22:22,Night
22,377,1,1997-11-07 07:18:36,Morning
244,51,2,1997-11-27 05:02:03,Morning
166,346,1,1998-02-02 05:33:16,Morning
298,474,4,1998-01-07 14:20:06,Afternoon
115,265,2,1997-12-03 17:51:28,Evening
253,465,5,1998-04-03 18:34:27,Evening
305,451,3,1998-02-01 09:20:17,Morning
6,86,3,1997-12-31 21:16:53,Night
62,257,2,1997-11-12 22:07:14,Night
286,1014,5,1997-11-17 15:38:45,Evening
200,222,5,1997-10-05 09:05:40,Morning
210,40,3,1998-03-27 21:59:54,Night
224,29,3,1998-02-21 23:40:57,Night
303,785,3,1997-11-14 05:28:38,Morning
122,387,5,1997-11-11 17:47:39,Evening
194,274,2,1997-11-14 20:36:34,Night
291,1042,4,1997-09-21 09:42:24,Morning
234,1184,2,1998-04-08 23:47:17,Night
119,392,4,1998-01-30 16:13:34,Evening
167,486,4,1998-04-16 14:54:12,Afternoon
299,144,4,1997-10-26 15:55:20,Evening
291,118,2,1997-09-21 09:24:38,Morning
308,1,4,1998-02-17 17:28:52,Evening
95,546,2,1997-11-10 21:16:06,Night
38,95,5,1998-04-13 01:14:54,Late Night
102,768,2,1998-01-02 13:40:50,Afternoon
63,277,4,1997-10-01 23:10:01,Night
160,234,5,1997-10-14 20:33:05,Night
50,246,3,1997-10-17 01:38:49,Late Night
301,98,4,1997-12-14 05:03:47,Morning
225,193,4,1997-11-14 20:35:27,Night
290,88,4,1997-11-28 15:46:03,Evening
97,194,3,1998-01-08 05:54:20,Morning
157,274,4,1998-02-07 22:33:55,Night
181,1081,1,1997-11-08 04:17:03,Late Night
278,603,5,1998-03-30 22:02:10,Night
276,796,1,1997-09-20 21:45:32,Night
7,32,4,1998-03-31 13:28:52,Afternoon
10,16,4,1997-10-26 18:01:17,Evening
284,304,4,1998-01-20 20:48:42,Night
201,979,2,1998-01-06 19:17:13,Night
276,564,3,1997-09-20 21:43:25,Night
287,327,5,1997-09-27 04:18:36,Late Night
246,201,5,1998-01-16 03:33:14,Late Night
242,1137,5,1997-11-17 04:33:16,Late Night
249,241,5,1997-11-16 00:46:34,Late Night
99,4,5,1998-02-03 15:18:17,Evening
178,332,3,1997-12-22 20:43:57,Night
251,100,4,1998-01-31 18:38:04,Evening
81,432,2,1997-10-11 01:58:51,Late Night
260,322,4,1998-03-23 02:08:18,Late Night
25,181,5,1998-01-26 22:23:35,Night
59,196,5,1998-02-23 03:38:08,Late Night
72,679,2,1997-11-20 14:46:04,Afternoon
87,384,4,1997-11-18 18:18:47,Evening
290,143,5,1997-11-25 16:11:33,Evening
42,423,5,1997-12-03 00:08:07,Late Night
292,515,4,1997-12-02 23:06:17,Night
115,20,3,1997-12-03 17:43:29,Evening
20,288,1,1997-11-16 08:06:24,Morning
201,219,4,1998-01-06 18:51:13,Evening
13,526,3,1997-12-14 23:10:53,Night
246,919,4,1998-01-16 03:22:29,Late Night
138,26,5,1997-11-08 21:23:52,Night
167,232,1,1998-04-16 14:52:21,Afternoon
60,427,5,1997-12-28 16:30:20,Evening
57,304,5,1998-01-01 23:49:41,Night
223,274,4,1998-04-02 20:48:14,Night
189,512,4,1998-04-22 20:41:42,Night
243,15,3,1997-11-20 00:57:20,Late Night
92,1049,1,1998-03-18 20:10:26,Night
246,416,3,1998-01-16 03:57:27,Late Night
194,165,4,1997-11-14 22:32:03,Night
241,690,2,1998-02-12 02:11:22,Late Night
178,248,4,1997-12-22 20:52:34,Night
254,1444,3,1998-02-03 03:12:38,Late Night
293,5,3,1998-03-03 06:29:36,Morning
127,229,5,1998-01-09 16:54:27,Evening
225,237,5,1997-11-14 20:34:03,Night
299,229,3,1997-10-30 06:20:29,Morning
225,480,5,1997-11-14 20:52:28,Night
276,54,3,1997-09-20 21:30:25,Night
291,144,5,1997-09-21 09:44:51,Morning
222,366,4,1997-10-30 03:49:41,Late Night
267,518,5,1997-11-08 06:49:33,Morning
42,403,3,1997-12-03 00:24:44,Late Night
11,111,4,1998-04-06 23:04:22,Night
95,625,4,1998-03-03 19:46:52,Night
8,338,4,1997-11-12 19:11:13,Night
162,25,4,1997-10-23 19:39:33,Night
87,1016,4,1997-11-18 18:03:14,Evening
279,154,5,1997-09-26 17:51:31,Evening
145,275,2,1998-01-23 12:11:45,Afternoon
119,1153,5,1997-09-20 18:46:38,Evening
62,498,4,1997-11-12 22:30:48,Night
62,382,3,1997-11-12 22:58:57,Night
28,209,4,1997-12-12 21:13:34,Night
135,23,4,1997-11-18 12:56:05,Afternoon
32,294,3,1998-01-02 02:57:43,Late Night
90,382,5,1998-03-31 22:37:15,Night
286,208,4,1997-10-22 14:52:22,Afternoon
293,685,3,1998-03-03 06:06:10,Morning
216,144,4,1997-11-22 21:37:19,Night
166,328,5,1998-02-02 05:35:22,Morning
250,496,4,1997-10-29 02:01:39,Late Night
271,132,5,1998-01-26 21:04:32,Night
160,174,5,1997-10-14 20:26:47,Night
265,118,4,1997-09-27 00:38:34,Late Night
198,498,3,1998-01-07 21:11:32,Night
42,96,5,1997-12-02 23:59:38,Night
168,151,5,1998-01-08 19:34:18,Night
110,307,4,1998-02-09 01:21:00,Late Night
58,144,4,1998-01-09 00:15:36,Late Night
90,648,4,1998-03-31 22:52:34,Night
271,346,4,1998-01-26 19:53:50,Night
62,21,3,1997-11-12 22:24:20,Night
279,832,3,1997-12-06 02:37:34,Late Night
237,514,4,1997-11-12 23:17:21,Night
94,789,4,1998-04-04 20:14:47,Night
128,485,3,1997-11-19 19:14:55,Night
298,317,4,1998-01-07 14:20:06,Afternoon
44,195,5,1997-11-01 01:31:14,Late Night
264,200,5,1998-01-30 01:05:52,Late Night
194,385,2,1997-11-14 16:24:03,Evening
72,195,5,1997-11-20 14:55:02,Afternoon
222,750,5,1998-01-03 08:12:00,Morning
250,264,3,1997-10-29 01:39:42,Late Night
41,265,3,1998-03-23 21:04:02,Night
224,245,3,1998-02-21 17:30:16,Evening
82,135,3,1997-11-05 22:40:29,Night
262,1147,4,1997-11-17 18:35:10,Evening
293,471,3,1998-03-03 06:01:24,Morning
216,658,3,1997-11-23 00:30:29,Late Night
250,140,3,1997-10-29 02:27:39,Late Night
59,23,5,1998-02-23 03:41:40,Late Night
286,379,5,1997-10-22 15:22:51,Evening
244,815,4,1997-11-27 04:33:05,Late Night
7,479,4,1998-03-31 13:46:50,Afternoon
174,368,1,1998-02-02 15:46:42,Evening
87,274,4,1997-11-18 18:12:14,Evening
194,1211,2,1997-11-14 23:49:40,Night
82,1134,2,1998-01-13 18:00:02,Evening
13,836,2,1997-12-14 22:49:06,Night
13,272,4,1998-01-11 17:06:43,Evening
244,756,2,1997-11-27 04:32:37,Late Night
305,427,5,1998-02-01 08:51:30,Morning
95,787,2,1998-03-03 19:55:30,Night
43,14,2,1998-01-04 23:15:45,Night
299,955,4,1998-03-10 04:07:03,Late Night
57,419,3,1998-01-01 23:47:34,Night
84,405,3,1997-12-30 03:26:03,Late Night
269,504,4,1998-04-01 16:58:42,Evening
299,111,3,1997-10-26 15:03:04,Evening
194,466,4,1997-11-14 16:44:36,Evening
160,135,4,1997-10-14 20:26:47,Night
99,268,3,1998-01-24 21:44:07,Night
10,486,4,1997-10-26 17:27:26,Evening
259,117,4,1997-09-20 03:09:48,Late Night
85,427,3,1997-11-13 21:25:50,Night
303,919,4,1997-11-14 00:28:15,Late Night
213,273,5,1997-11-07 02:49:47,Late Night
121,514,3,1998-03-31 23:45:47,Night
90,98,5,1998-03-31 22:26:44,Night
49,559,2,1998-02-21 13:23:25,Afternoon
42,794,3,1997-12-03 00:20:25,Late Night
155,323,2,1997-11-12 21:47:41,Night
68,117,4,1997-10-16 03:52:19,Late Night
172,177,4,1997-09-29 12:59:25,Afternoon
19,4,4,1998-01-21 20:00:40,Night
268,231,4,1997-10-01 22:15:36,Night
5,2,3,1997-09-30 16:14:13,Evening
305,117,2,1998-02-01 09:07:08,Morning
44,294,4,1997-12-31 23:52:36,Night
43,137,4,1997-10-04 14:34:16,Afternoon
279,1336,1,1997-09-26 18:25:53,Evening
80,466,5,1998-02-13 20:28:21,Night
254,164,4,1998-02-03 02:26:08,Late Night
298,281,3,1998-01-07 14:28:56,Afternoon
279,1240,1,1998-04-10 02:13:24,Late Night
66,298,4,1997-12-31 20:48:44,Night
18,443,3,1997-11-21 16:36:33,Evening
268,1035,2,1997-09-29 14:09:34,Afternoon
99,79,4,1998-01-24 22:15:38,Night
13,98,4,1997-12-07 17:16:51,Evening
26,258,3,1998-03-31 12:39:09,Afternoon
7,455,4,1998-03-31 14:04:46,Afternoon
222,755,4,1997-10-30 03:51:21,Late Night
200,673,5,1998-01-06 23:15:54,Night
119,328,4,1997-10-15 13:58:33,Afternoon
213,172,5,1997-11-08 02:17:22,Late Night
276,322,3,1997-09-20 20:13:12,Night
94,1217,3,1998-04-04 20:51:26,Night
130,379,4,1997-10-02 14:14:22,Afternoon
38,328,4,1998-04-13 00:51:28,Late Night
160,719,3,1997-10-14 19:39:37,Night
293,1267,3,1998-03-03 06:36:06,Morning
26,930,2,1998-03-31 23:13:05,Night
